Title,Price,Rating,Genre
A Light in the Attic,£51.77,Three,Poetry
Tipping the Velvet,£53.74,One,Historical Fiction
Soumission,£50.10,One,Fiction
Sharp Objects,£47.82,Four,Mystery
Sapiens: A Brief History of Humankind,£54.23,Five,History
The Requiem Red,£22.65,One,Young Adult
The Dirty Little Secrets of Getting Your Dream Job,£33.34,Four,Business
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,Three,Default
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,Four,Default
The Black Maria,£52.15,One,Poetry
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,Two,Default
Shakespeare's Sonnets,£20.66,Four,Poetry
Set Me Free,£17.46,Five,Young Adult
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,Five,Sequential Art
Rip it Up and Start Again,£35.02,Five,Music
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,Three,Music
Olio,£23.88,One,Poetry
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,One,Science Fiction
Libertarianism for Beginners,£51.33,Two,Politics
It's Only the Himalayas,£45.17,Two,Travel
In Her Wake,£12.84,One,Thriller
How Music Works,£37.32,Two,Music
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,Three,Food and Drink
Chase Me (Paris Nights #2),£25.27,Five,Romance
Black Dust,£34.53,Five,Romance
Birdsong: A Story in Pictures,£54.64,Three,Childrens
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,Three,Default
Aladdin and His Wonderful Lamp,£53.13,Three,Default
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,Five,Nonfiction
Wall and Piece,£44.18,Four,Art
The Four Agreements: A Practical Guide to Personal Freedom,£17.66,Five,Spirituality
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,Three,Nonfiction
The Elephant Tree,£23.82,Five,Thriller
The Bear and the Piano,£36.89,One,Childrens
Sophie's World,£15.94,Five,Philosophy
Penny Maybe,£33.29,Three,Default
Maude (1883-1993):She Grew Up with the country,£18.02,Two,Default
"In a Dark, Dark Wood",£19.63,One,Mystery
Behind Closed Doors,£52.22,Four,Thriller
You can't bury them all: Poems,£33.63,Two,Poetry
