Title,Price,Rating,Genre
A Light in the Attic,51.77,3,Poetry
Tipping the Velvet,53.74,1,Historical Fiction
Soumission,50.1,1,Fiction
Sharp Objects,47.82,4,Mystery
Sapiens: A Brief History of Humankind,54.23,5,History
The Requiem Red,22.65,1,Young Adult
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,Business
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,Default
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,Default
The Black Maria,52.15,1,Poetry
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,Default
Shakespeare's Sonnets,20.66,4,Poetry
Set Me Free,17.46,5,Young Adult
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,Sequential Art
Rip it Up and Start Again,35.02,5,Music
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,Music
Olio,23.88,1,Poetry
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,Science Fiction
Libertarianism for Beginners,51.33,2,Politics
It's Only the Himalayas,45.17,2,Travel
In Her Wake,12.84,1,Thriller
How Music Works,37.32,2,Music
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,Food and Drink
Chase Me (Paris Nights #2),25.27,5,Romance
Black Dust,34.53,5,Romance
Birdsong: A Story in Pictures,54.64,3,Childrens
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,Default
Aladdin and His Wonderful Lamp,53.13,3,Default
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,5,Nonfiction
Wall and Piece,44.18,4,Art
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,Spirituality
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,Nonfiction
The Elephant Tree,23.82,5,Thriller
The Bear and the Piano,36.89,1,Childrens
Sophie's World,15.94,5,Philosophy
Penny Maybe,33.29,3,Default
Maude (1883-1993):She Grew Up with the country,18.02,2,Default
"In a Dark, Dark Wood",19.63,1,Mystery
Behind Closed Doors,52.22,4,Thriller
You can't bury them all: Poems,33.63,2,Poetry
